Date,Open,High,Low,Close,Adj Close,Volume
08-11-2021,18040.19922,18087.80078,17836.09961,18068.55078,18068.55078,338900
09-11-2021,18084.34961,18112.59961,17983.05078,18044.25,18044.25,270200
10-11-2021,17973.44922,18061.25,17915,18017.19922,18017.19922,261400
11-11-2021,17967.44922,17971.34961,17798.19922,17873.59961,17873.59961,232100
12-11-2021,17977.59961,18123,17905.90039,18102.75,18102.75,249100
15-11-2021,18140.94922,18210.15039,18071.30078,18109.44922,18109.44922,280400
16-11-2021,18127.05078,18132.65039,17958.80078,17999.19922,17999.19922,267400
17-11-2021,17939.34961,18022.65039,17879.25,17898.65039,17898.65039,295700
18-11-2021,17890.55078,17945.59961,17688.5,17764.80078,17764.80078,278400
22-11-2021,17796.25,17805.25,17280.44922,17416.55078,17416.55078,356400
23-11-2021,17281.75,17553.69922,17216.09961,17503.34961,17503.34961,308800
24-11-2021,17550.05078,17600.59961,17354,17415.05078,17415.05078,298100
25-11-2021,17417.30078,17564.34961,17351.69922,17536.25,17536.25,255900
26-11-2021,17338.75,17355.40039,16985.69922,17026.44922,17026.44922,356300
29-11-2021,17055.80078,17160.69922,16782.40039,17053.94922,17053.94922,348900
30-11-2021,17051.15039,17324.65039,16931.40039,16983.19922,16983.19922,498000
01-12-2021,17104.40039,17213.05078,17064.25,17166.90039,17166.90039,295500
02-12-2021,17183.19922,17420.34961,17149.30078,17401.65039,17401.65039,279900
03-12-2021,17424.90039,17489.80078,17180.80078,17196.69922,17196.69922,292500
06-12-2021,17209.05078,17216.75,16891.69922,16912.25,16912.25,231700
07-12-2021,17044.09961,17251.65039,16987.75,17176.69922,17176.69922,254100
08-12-2021,17315.25,17484.59961,17308.94922,17469.75,17469.75,257800
09-12-2021,17524.40039,17543.25,17379.59961,17516.84961,17516.84961,237200
10-12-2021,17476.05078,17534.34961,17405.25,17511.30078,17511.30078,204500
13-12-2021,17619.09961,17639.5,17355.94922,17368.25,17368.25,256600
14-12-2021,17283.19922,17376.19922,17225.80078,17324.90039,17324.90039,271000
15-12-2021,17323.65039,17351.19922,17192.19922,17221.40039,17221.40039,215000
16-12-2021,17373,17379.34961,17184.94922,17248.40039,17248.40039,219500
17-12-2021,17276,17298.15039,16966.44922,16985.19922,16985.19922,354600
20-12-2021,16824.25,16840.09961,16410.19922,16614.19922,16614.19922,330600
21-12-2021,16773.15039,16936.40039,16688.25,16770.84961,16770.84961,241000
22-12-2021,16865.55078,16971,16819.5,16955.44922,16955.44922,207900
23-12-2021,17066.80078,17118.65039,17015.55078,17072.59961,17072.59961,197000
24-12-2021,17149.5,17155.59961,16909.59961,17003.75,17003.75,182600
